Date,Open,High,Low,Close,Adj Close,Volume
2016-12-01,2200.169922,2277.530029,2187.439941,2238.830078,2238.830078,75251240000
2017-01-01,2251.570068,2300.989990,2245.129883,2278.870117,2278.870117,70483180000
2017-02-01,2285.590088,2371.540039,2271.649902,2363.639893,2363.639893,69162420000
2017-03-01,2380.129883,2400.979980,2322.250000,2362.719971,2362.719971,81547770000
2017-04-01,2362.340088,2398.159912,2328.949951,2384.199951,2384.199951,65265670000
2017-05-01,2388.500000,2418.709961,2352.719971,2411.800049,2411.800049,79607170000
2017-06-01,2415.649902,2453.820068,2405.699951,2423.409912,2423.409912,81002490000
2017-07-01,2431.389893,2484.040039,2407.699951,2470.300049,2470.300049,63169400000
2017-08-01,2477.100098,2490.870117,2417.350098,2471.649902,2471.649902,70616030000
2017-09-01,2474.419922,2519.439941,2446.550049,2519.360107,2519.360107,66337980000
2017-10-01,2521.199951,2582.979980,2520.399902,2575.260010,2575.260010,70871570000
2017-11-01,2583.209961,2657.739990,2557.449951,2584.840088,2584.840088,95142800000
2017-12-01,2645.100098,2694.969971,2605.520020,2673.610107,2673.610107,65251190000
2018-01-01,2683.729980,2872.870117,2682.360107,2823.810059,2823.810059,76860120000
2018-02-01,2816.449951,2835.959961,2532.689941,2713.830078,2713.830078,79579410000
2018-03-01,2715.219971,2801.899902,2585.889893,2640.870117,2640.870117,76369800000
2018-04-01,2633.449951,2717.489990,2553.800049,2648.050049,2648.050049,69648590000
2018-05-01,2642.959961,2742.239990,2594.620117,2705.270020,2705.270020,75617280000
2018-06-01,2718.699951,2791.469971,2691.989990,2718.370117,2718.370117,77439710000
2018-07-01,2704.949951,2848.030029,2698.949951,2816.290039,2816.290039,64542170000
2018-08-01,2821.169922,2916.500000,2796.340088,2901.520020,2901.520020,69238220000
2018-09-01,2896.959961,2940.909912,2864.120117,2913.979980,2913.979980,62492080000
2018-10-01,2926.290039,2939.860107,2603.540039,2711.739990,2711.739990,91327930000
2018-11-01,2717.580078,2815.149902,2631.090088,2760.169922,2760.169922,80080110000
2018-12-01,2790.500000,2800.179932,2346.580078,2506.850098,2506.850098,83522570000
2019-01-01,2476.959961,2708.949951,2443.959961,2704.100098,2704.100098,80401630000
2019-02-01,2702.320068,2813.489990,2681.830078,2784.489990,2784.489990,70183430000
2019-03-01,2798.219971,2860.310059,2722.270020,2834.399902,2834.399902,78596280000
2019-04-01,2848.629883,2949.520020,2848.629883,2945.830078,2945.830078,69604840000
2019-05-01,2952.330078,2954.129883,2750.520020,2752.060059,2752.060059,76860120000
2019-06-01,2751.530029,2964.149902,2728.810059,2941.760010,2941.760010,70881390000
2019-07-01,2971.409912,3027.979980,2952.219971,2980.379883,2980.379883,70349470000
2019-08-01,2980.320068,3013.590088,2822.120117,2926.459961,2926.459961,79599440000
2019-09-01,2909.010010,3021.989990,2891.850098,2976.739990,2976.739990,73992330000
2019-10-01,2983.689941,3050.100098,2855.939941,3037.560059,3037.560059,77564550000
2019-11-01,3050.719971,3154.260010,3050.719971,3140.979980,3140.979980,72179920000
2019-12-01,3143.850098,3247.929932,3070.330078,3230.780029,3230.780029,72054000000
2020-01-01,3244.669922,3337.770020,3214.639893,3225.520020,3225.520020,77104420000
2020-02-01,3235.659912,3393.520020,2855.840088,2954.219971,2954.219971,84292270000
2020-03-01,2974.280029,3136.719971,2191.860107,2584.590088,2584.590088,161801100000
2020-04-01,2498.080078,2954.860107,2447.489990,2912.429932,2912.429932,123163450000
2020-05-01,2869.090088,3068.669922,2766.639893,3044.310059,3044.310059,106799100000
2020-06-01,3038.780029,3233.129883,2965.659912,3100.290039,3100.290039,131044000000
2020-07-01,3105.919922,3279.989990,3101.169922,3271.120117,3271.120117,97197020000
2020-08-01,3288.260010,3514.770020,3284.530029,3500.310059,3500.310059,84402300000
2020-09-01,3507.439941,3588.110107,3209.449951,3363.000000,3363.000000,92084120000
2020-10-01,3385.870117,3549.850098,3233.939941,3269.959961,3269.959961,89737600000
2020-11-01,null,null,null,null,null,null
